file_number,average,stdev
2,652.454,997.877
3,687.529,1010.19
4,728.445,1029.89
5,801.74,1097.63
6,770.297,1066.76
7,771.948,1131.48
8,740.831,970.446
9,745.522,1059.6
10,760.278,1021.24
11,616.638,988.391
12,624.397,979.553
13,653.624,1067.73
14,653.631,1014.87
15,636.83,958.532
16,644.88,1056.14
17,708.023,5382.57
18,603.495,961.617
19,325.32,831.599
20,313.7,790.706
21,333.732,864.315
22,313.257,813.95
23,311.587,856.757
24,298.497,778.713
25,652.859,1104.48
26,674.422,1188.67
27,614.396,1070.55
28,600.866,1044.7
29,588.55,1028.16
30,593.184,1026.44
31,569.841,985.505
32,577.891,997.036
33,591.803,1009.13
34,587.883,1087.17
35,574.373,1033.56
36,604.598,1020.23
37,638.652,1058.17
38,645.414,1105.07
39,642.646,1085.94
40,631.549,1054.75
41,609.177,1049.08
42,734.061,1124.53
43,730.505,1180.59
44,691.175,1164.98
45,671.721,1126.64
46,662.482,1046.69
47,660.989,1088.53
48,679.374,1124.69
49,678.042,1114.93
50,681.781,1073.33
51,214.621,653.373
52,194.817,677.346
53,657.066,990.103
54,624.66,997.324
55,641.409,991.69
56,641.056,952.092
57,625.774,965.711
58,658.323,998.647
59,677.984,963.058
60,711.268,1023.05
61,703.395,1008.43
62,652.52,1002.01
63,768.78,1084.84
64,900.38,982.676
65,985.249,1027.08
66,951.517,1012.56
67,1017.09,1733.18
68,1171.3,1261.19
69,1713.46,1576.87
70,1696.91,1547.32
71,1721.33,1505.94
72,1770.25,1954.16
73,1898.71,1736.81
74,1858.27,1731.18
75,1970.97,1918.9
76,1969.78,1760.48
77,2004.71,1846.03
78,2050.97,1848.04
79,2121.25,1856.08
80,2090.58,1857.67
81,1907.44,1694.14
82,1697.94,1487.21
83,1723.72,1513.3
84,1718.86,1502.63
85,1795.78,1584.95
86,1764.58,1554.77
87,1756.78,1543.97
88,1621.26,1571.88
89,1779.22,1596.54
90,1735.1,1546.45
91,1773.72,1609.04
92,1739.42,1519.41
93,1759.01,1548.48
94,1743.26,1539.39
95,1754.84,1576.96
96,1743.69,1529.43
97,1774.45,1564.35
98,1794.46,1525.27
99,1772.38,1461.24
100,1743.44,1449.64
